Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,72,100,0.7200,0.9633,0.8381,0.8450,0.8414
buyer,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
address,99,100,0.9900,0.8813,0.8815,0.8813,0.8814
date,100,100,1.0000,0.0000,0.0000,0.0000,0.0000
shopping_or_tax,100,100,1.0000,0.3900,0.3900,0.3900,0.3900
currency,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,80,100,0.8000,0.8000,0.8000,0.8000,0.8000
discount,94,100,0.9400,0.9400,0.9400,0.9400,0.9400
tax,94,100,0.9400,0.9400,0.9400,0.9400,0.9400
total,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
