
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 782/800 |  26/800 |   0/800 |  0.9775  |  0.9678   | 1.0000  |  0.9836  |  0.9204  |  0.9204   |  0.9204  

          buyer |  82/100 |  19/100 |   0/100 |  0.9150  |  0.8119   | 1.0000  |  0.8962  |  0.9150  |  0.9150   |  0.9150  
        address | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
           date | 101/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
       subtotal | 101/100 |   0/100 |   0/100 |  0.9100  |  1.0000   | 1.0000  |  1.0000  |  0.9100  |  0.9100   |  0.9100  
       discount | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
            tax |  96/100 |   5/100 |   0/100 |  0.9500  |  0.9505   | 1.0000  |  0.9746  |  0.9300  |  0.9500   |  0.9367  
          total |  99/100 |   2/100 |   0/100 |  0.9300  |  0.9802   | 1.0000  |  0.9900  |  0.9200  |  0.9300   |  0.9233  
