
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 717/800 |  91/800 |   0/800 |  0.8962  |  0.8874   | 1.0000  |  0.9403  |  0.8452  |  0.8482   |  0.8467  

          buyer | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
        address | 100/100 |   1/100 |   0/100 |  0.8881  |  0.9901   | 1.0000  |  0.9950  |  0.8881  |  0.8881   |  0.8881  
           date | 101/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
       subtotal |  81/100 |  20/100 |   0/100 |  0.8100  |  0.8020   | 1.0000  |  0.8901  |  0.8100  |  0.8100   |  0.8100  
       discount |  45/100 |  56/100 |   0/100 |  0.4500  |  0.4455   | 1.0000  |  0.6164  |  0.4500  |  0.4500   |  0.4500  
            tax |  87/100 |  14/100 |   0/100 |  0.8700  |  0.8614   | 1.0000  |  0.9255  |  0.8700  |  0.8700   |  0.8700  
          total | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
