
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 693/800 | 107/800 |   0/800 |  0.8662  |  0.8662   | 1.0000  |  0.9283  |  0.8847  |  0.8889   |  0.8867  

          buyer | 100/100 |   0/100 |   0/100 |  0.9967  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  0.9967   |  0.9980  
        address |  99/100 |   1/100 |   0/100 |  0.9914  |  0.9900   | 1.0000  |  0.9950  |  0.9914  |  0.9914   |  0.9914  
           date | 100/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
       subtotal |  80/100 |  20/100 |   0/100 |  0.8000  |  0.8000   | 1.0000  |  0.8889  |  0.8000  |  0.8000   |  0.8000  
       discount |  31/100 |  69/100 |   0/100 |  0.3100  |  0.3100   | 1.0000  |  0.4733  |  0.3100  |  0.3100   |  0.3100  
            tax |  83/100 |  17/100 |   0/100 |  0.8300  |  0.8300   | 1.0000  |  0.9071  |  0.8300  |  0.8300   |  0.8300  
          total | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
