
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 709/800 |  91/800 |   0/800 |  0.8862  |  0.8862   | 1.0000  |  0.9397  |  0.8364  |  0.8395   |  0.8379  

          buyer | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
        address |  99/100 |   1/100 |   0/100 |  0.8794  |  0.9900   | 1.0000  |  0.9950  |  0.8794  |  0.8794   |  0.8794  
           date | 100/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
       subtotal |  80/100 |  20/100 |   0/100 |  0.8000  |  0.8000   | 1.0000  |  0.8889  |  0.8000  |  0.8000   |  0.8000  
       discount |  44/100 |  56/100 |   0/100 |  0.4400  |  0.4400   | 1.0000  |  0.6111  |  0.4400  |  0.4400   |  0.4400  
            tax |  86/100 |  14/100 |   0/100 |  0.8600  |  0.8600   | 1.0000  |  0.9247  |  0.8600  |  0.8600   |  0.8600  
          total | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
