Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,19,100,0.1900,0.8656,0.7920,0.8031,0.7974
buyer,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
address,99,100,0.9900,0.8764,0.8766,0.8764,0.8765
date,100,100,1.0000,0.0000,0.0000,0.0000,0.0000
shopping_or_tax,100,100,1.0000,0.4600,0.4600,0.4600,0.4600
currency,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,80,100,0.8000,0.8000,0.8000,0.8000,0.8000
discount,20,100,0.2000,0.2000,0.2000,0.2000,0.2000
tax,80,100,0.8000,0.8000,0.8000,0.8000,0.8000
total,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
