
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 684/800 | 116/800 |   0/800 |  0.8550  |  0.8550   | 1.0000  |  0.9218  |  0.7662  |  0.7684   |  0.7666  

          buyer | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
        address |  80/100 |  20/100 |   0/100 |  0.7457  |  0.8000   | 1.0000  |  0.8889  |  0.7417  |  0.7457   |  0.7424  
           date | 100/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency |  99/100 |   1/100 |   0/100 |  0.9800  |  0.9900   | 1.0000  |  0.9950  |  0.9800  |  0.9800   |  0.9800  
       subtotal |  80/100 |  20/100 |   0/100 |  0.8000  |  0.8000   | 1.0000  |  0.8889  |  0.8000  |  0.8000   |  0.8000  
       discount |  40/100 |  60/100 |   0/100 |  0.4000  |  0.4000   | 1.0000  |  0.5714  |  0.4000  |  0.4000   |  0.4000  
            tax |  85/100 |  15/100 |   0/100 |  0.8500  |  0.8500   | 1.0000  |  0.9189  |  0.8500  |  0.8500   |  0.8500  
          total | 100/100 |   0/100 |   0/100 |  1.0000  |  1.0000   | 1.0000  |  1.0000  |  1.0000  |  1.0000   |  1.0000  
